# python3 ./apitest.py -f samplefbdata.txt -H -P 1 -G "2:1:1:1:1:1:3" --ispart 2 --ispart 3 --ispart 4 -C "0:3:2" -C "1:4:5" --maxcost 50000 --ctol 0.2 --itol 0.5 --ntol 1 --resnumb 10000 --maxres 100000 --smode 1
Item,Value,Cost,Pos,Team,Game,PTFeat
item1,7.0,3800.0,1,1,1,1
item2,0.0,3400.0,2,2,2,2
item3,11.0,3800.0,1,3,3,3
item4,0.0,2900.0,2,4,4,4
item5,3.0,4200.0,1,5,5,5
item6,5.0,3400.0,2,6,6,6
item7,3.0,4300.0,3,7,7,7
item8,14.0,3000.0,4,8,8,8
item9,0.0,3300.0,5,9,1,9
item10,10.0,3600.0,1,9,1,9
item11,0.0,3200.0,5,8,8,8
item12,11.0,5000.0,3,10,9,10
item13,10.0,4000.0,6,11,10,11
item14,9.0,3500.0,2,1,1,1
item15,26.15,6200.0,7,12,8,31
item16,0.0,4200.0,6,13,3,13
item17,3.0,2800.0,2,5,5,5
item18,8.0,4900.0,6,12,8,12
item19,0.0,3200.0,3,2,2,2
item20,3.0,3700.0,5,14,11,14
item21,13.0,4100.0,3,15,5,15
item22,0.0,3000.0,4,16,12,16
item23,31.65,11500.0,7,9,1,31
item24,6.0,3500.0,1,2,2,2
item25,9.0,3300.0,1,17,6,17
item26,9.0,4100.0,1,16,12,16
item27,15.0,3300.0,6,18,12,18
item28,12.0,5600.0,5,19,13,19
item29,20.1,11200.0,7,4,4,31
item30,18.0,5900.0,5,19,13,19
item31,19.0,3900.0,1,13,3,13
item32,-19.0,4800.0,7,20,9,31
item33,6.0,5300.0,5,12,8,12
item34,2.0,4900.0,2,19,13,19
item35,12.0,3200.0,1,11,10,11
item36,13.65,7300.0,7,21,4,31
item37,0.0,3200.0,5,19,13,19
item38,11.0,4800.0,5,9,1,9
item39,0.0,4800.0,1,5,5,5
item40,5.0,2800.0,5,11,10,11
item41,2.0,3200.0,5,22,7,22
item42,3.0,3500.0,5,9,1,9
item43,24.0,4400.0,5,5,5,5
item44,8.0,3000.0,6,7,7,7
item45,2.0,4000.0,6,21,4,21
item46,0.0,3000.0,5,20,9,20
item47,3.0,2800.0,4,23,14,23
item48,0.0,4000.0,5,21,4,21
item49,2.0,3700.0,3,11,10,11
item50,6.0,3700.0,4,17,6,17
item51,27.3,5900.0,7,5,5,31
item52,2.0,3500.0,6,20,9,20
item53,0.0,3000.0,4,18,12,18
item54,11.0,4000.0,5,18,12,18
item55,16.7,13200.0,7,10,9,31
item56,5.0,3500.0,5,22,7,22
item57,20.0,4500.0,2,10,9,10
item58,19.75,5500.0,7,1,1,31
item59,2.0,3300.0,3,24,15,24
item60,7.0,4200.0,2,25,10,25
item61,4.0,4000.0,1,2,2,2
item62,16.0,4400.0,5,26,15,26
item63,0.0,2700.0,6,7,7,7
item64,33.0,4200.0,5,20,9,20
item65,23.55,12600.0,7,22,7,31
item66,2.0,3200.0,5,18,12,18
item67,16.0,3700.0,1,12,8,12
item68,5.0,3600.0,6,19,13,19
item69,2.0,3100.0,2,27,2,27
item70,0.0,2900.0,3,3,3,3
item71,6.0,4100.0,3,4,4,4
item72,0.0,2900.0,1,28,14,28
item73,7.0,3400.0,6,2,2,2
item74,20.0,3200.0,5,23,14,23
item75,0.0,3000.0,5,6,6,6
item76,13.0,4500.0,5,3,3,3
item77,5.0,5100.0,1,9,1,9
item78,0.0,2700.0,5,1,1,1
item79,3.0,2700.0,2,28,14,28
item80,15.0,4400.0,6,4,4,4
item81,5.05,5900.0,7,3,3,31
item82,2.0,3400.0,5,2,2,2
item83,6.5,4000.0,7,2,2,31
item84,10.0,3000.0,3,16,12,16
item85,0.0,3800.0,5,20,9,20
item86,0.0,3300.0,6,8,8,8
item87,0.0,3900.0,6,22,7,22
item88,19.0,4600.0,1,7,7,7
item89,5.0,3800.0,1,18,12,18
item90,9.0,2700.0,2,29,11,29
